saving results in /home/fabian/simulation_results/transfer/lg=20_Vd=0.2_started:2015-07-23-15-16-19
(207/1000), V={0, 0.2, -0.175676}: 10 iterations, reldev=0.222248, n_E = 7808
(208/1000), V={0, 0.2, -0.175075}: 10 iterations, reldev=0.222003, n_E = 7744
(209/1000), V={0, 0.2, -0.174474}: 10 iterations, reldev=0.221732, n_E = 7820
(210/1000), V={0, 0.2, -0.173874}: 10 iterations, reldev=0.221464, n_E = 7728
(211/1000), V={0, 0.2, -0.173273}: 10 iterations, reldev=0.22119, n_E = 7720
(212/1000), V={0, 0.2, -0.172673}: 10 iterations, reldev=0.220916, n_E = 7776
(213/1000), V={0, 0.2, -0.172072}: 10 iterations, reldev=0.220651, n_E = 7796
(214/1000), V={0, 0.2, -0.171471}: 10 iterations, reldev=0.220373, n_E = 7744
(215/1000), V={0, 0.2, -0.170871}: 10 iterations, reldev=0.220085, n_E = 7772
(216/1000), V={0, 0.2, -0.17027}: 10 iterations, reldev=0.219808, n_E = 7752
(217/1000), V={0, 0.2, -0.16967}: 10 iterations, reldev=0.219518, n_E = 7700
(218/1000), V={0, 0.2, -0.169069}: 10 iterations, reldev=0.219242, n_E = 7728
(219/1000), V={0, 0.2, -0.168468}: 10 iterations, reldev=0.218965, n_E = 7792
(220/1000), V={0, 0.2, -0.167868}: 10 iterations, reldev=0.218672, n_E = 7796
(221/1000), V={0, 0.2, -0.167267}: 10 iterations, reldev=0.21839, n_E = 7752
(222/1000), V={0, 0.2, -0.166667}: 10 iterations, reldev=0.218107, n_E = 7792
(223/1000), V={0, 0.2, -0.166066}: 10 iterations, reldev=0.217841, n_E = 7728
(224/1000), V={0, 0.2, -0.165465}: 10 iterations, reldev=0.217535, n_E = 7744
(225/1000), V={0, 0.2, -0.164865}: 10 iterations, reldev=0.217117, n_E = 7740
(226/1000), V={0, 0.2, -0.164264}: 10 iterations, reldev=0.216716, n_E = 7712
(227/1000), V={0, 0.2, -0.163664}: 10 iterations, reldev=0.216414, n_E = 7736
(228/1000), V={0, 0.2, -0.163063}: 10 iterations, reldev=0.216169, n_E = 7708
(229/1000), V={0, 0.2, -0.162462}: 10 iterations, reldev=0.215888, n_E = 7700
(230/1000), V={0, 0.2, -0.161862}: 10 iterations, reldev=0.21633, n_E = 7732
